,Price,ram_in_gb,ddr_version,processor_name,gen_type,OS,disk_drive,storage_in_gb,size_in_inches,touchscreen,company,graphic_card
252,"26,490",8,3,Intel,10,Windows,SSD,512,13,No,Infinix,No
253,"1,04,135",16,4,Intel,10,Windows,SSD,512,16.1,No,Lenovo,Yes
254,"3,61,990",8,4,Intel,10,Windows,SSD,1000,14,No,Asus,No
255,"59,990",8,4,Intel,10,Windows,SSD,512,15.6,No,HP,No
256,"74,999",8,4,Intel,10,Windows,SSD,512,15.6,No,HP,No
257,"1,31,990",16,4,Intel,10,Windows,SSD,512,16,No,Lenovo,Yes
258,"49,990",32,5,Intel,10,Windows,SSD,1000,16,No,Asus,No
259,"43,975",16,4,Intel,10,Windows,SSD,1000,14,No,Lenovo,No
260,"46,490",16,4,Intel,10,Windows,SSD,512,15.6,No,Dell,No
261,"44,499",16,4,Intel,10,Windows,SSD,512,15.6,No,Dell,No
262,"1,71,990",8,4,Intel,10,Windows,SSD,512,14,Yes,Asus,No
263,"84,990",8,4,Intel,10,Windows,SSD,256,15.6,No,MSI,Yes
264,"63,990",8,4,Intel,10,Windows,SSD,512,14,No,HP,Yes
265,"81,990",8,4,Intel,10,Windows,SSD,2000,15.6,No,HP,No
266,"71,990",16,5,Intel,10,Windows,SSD,512,16,Yes,MSI,No
267,"16,990",16,4,AMD,Not Mentioned,Windows,SSD,512,15.6,No,Primebook,No
268,"2,24,990",8,4,Intel,10,Windows,SSD,512,15.6,No,Acer,Yes
269,"1,31,990",16,4,Intel,10,Windows,SSD,1000,15.6,Yes,Asus,No
270,"1,75,990",16,4,Intel,10,Windows,SSD,1000,15.6,No,MSI,No
271,"54,990",4,4,AMD,Not Mentioned,Windows,SSD,512,11.6,No,HP,No
272,"2,44,990",32,5,AMD,Not Mentioned,Windows,SSD,512,16,No,MSI,Yes
273,"56,490",16,5,Intel,10,Windows,SSD,1000,14,No,HP,No
274,"71,990",16,5,Intel,10,Windows,SSD,512,16,No,Lenovo,No
275,"52,490",8,4,Intel,10,Windows,SSD,256,15.6,No,HP,No
276,"99,990",16,5,Intel,10,Windows,SSD,512,15.6,No,Dell,Yes
277,"1,74,990",8,4,Intel,10,Windows,SSD,512,15.6,No,Asus,No
278,"49,890",8,4,Intel,10,Windows,SSD,1000,14,Yes,Dell,No
279,"59,990",8,4,Intel,Not Mentioned,Windows,SSD,512,15.6,No,HP,No
280,"72,990",16,4,Intel,10,Windows,SSD,512,15.6,No,HP,No
281,"1,54,990",16,4,Intel,10,Windows,SSD,512,0,No,Asus,No
282,"2,81,990",16,4,Intel,10,Windows,SSD,512,0,No,Asus,Yes
283,"18,990",16,4,AMD,Not Mentioned,Windows,SSD,256,15.6,No,Primebook,No
284,"34,990",16,4,AMD,Not Mentioned,DOS,SSD,512,15.6,No,HP,No
