,Description,Processor,RAM,Operating System,Storage,Display,Warranty,Price,ram_in_gb,ddr_version,processor_name,gen_type,OS,disk_drive,size_in_inches,touchscreen,company,graphic_card,SSD,HDD
867,Primebook 4G Android Based MediaTek MT8788 - (4 GB/64 GB EMMC Storage/Prime OS) 4G Thin and Light Lapt...,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB SSD,39.62 cm (15.6 inch) Display,,3092180.0,16,4,Intel,10,Windows,SSD,15.6,No,Primebook,No,1000,0
868,ASUS Vivobook Pro 15 Intel H-Series Core i9 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics...,AMD Ryzen 5 Quad Core Processor,16 GB DDR5 RAM,64 bit Windows 11 Operating System,512 GB SSD,35.56 cm (14 inch) Display,,16014180.0,16,5,AMD,0,Windows,SSD,14.0,No,Asus,Yes,512,0
869,ALIENWARE Core i7 10th Gen - (16 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce GTX 1660 T...,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB HDD,39.62 cm (15.6 Inch) Display,,34305180.0,16,4,Intel,10,Windows,HDD,15.6,No,alienware,Yes,0,1000
870,HP Envy x360 Creator OLED Eyesafe Intel Evo Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) x360...,Intel Core i5 Processor (7th Gen),4 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,,18926180.0,4,4,Intel,7,Windows,SSD,15.6,No,HP,No,512,0
871,HP 15s Intel Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5111TU Thin and Light Laptop,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Touchscreen Display,,10008180.0,8,4,Intel,10,Windows,SSD,14.0,Yes,HP,No,512,0
872,Infinix X1 Slim Series Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL21 Thin and Light Laptop,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB HDD,39.62 cm (15.6 Inch) Display,,6550180.0,16,4,AMD,0,Windows,HDD,15.6,No,Infinix,No,0,1000
873,DELL Vostro Ryzen 3 Quad Core 5425U - (8 GB/256 GB SSD/Windows 11 Home) Vostro 3425 Thin and Light Lap...,Intel Core i5 Processor (12th Gen),8 GB DDR5 RAM,Prime OS Operating System,512 GB SSD,40.64 cm (16 Inch) Display,,7278180.0,8,5,Intel,10,Windows,SSD,16.0,No,Dell,No,512,0
874,SAMSUNG Galaxy Book 2 Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) NP550 Thin and Light Laptop,Intel Ryzen 7 Quad Core Processor,8 GB DDR4 RAM,Windows 11 Operating System,1 TB SSD,35.56 cm (14 inch) Display,,11100180.0,8,4,Intel,0,Windows,SSD,14.0,No,Samsung,No,1000,0
875,HP Intel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s- fr4000TU Thin and Light Laptop,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB SSD,34.04 cm (13.4 Inch) Touchscreen Display,,9553180.0,8,4,AMD,0,Windows,SSD,13.4,Yes,HP,No,1000,0
876,HP 15s Intel Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s- fq5010TU Thin and Light Laptop,Intel Core i5 Processor (8th Gen),4 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,35.56 cm (14 inch) Display,,10554180.0,4,4,Intel,8,Windows,SSD,14.0,No,HP,No,512,0
877,ASUS Ryzen 7 Dual Core 10th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics) FA577RE-HN055WS Lap...,AMD Ryzen 5 Hexa Core Processor,8 GB DDR5 RAM,64 bit Windows 11 Operating System,512 GB SSD,29.46 cm (11.6 inch) Display,,15832180.0,8,5,AMD,0,Windows,SSD,11.6,No,Asus,Yes,512,0
878,HP Envy Core i5 8th Gen - (8 GB/256 GB SSD/Windows 10 Home) 13-ad125TU Thin and Light Laptop,Intel Core i5 Processor (13th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB SSD,39.62 cm (15.6 inch) Display,,12738180.0,8,4,Intel,10,Windows,SSD,15.6,No,HP,No,1000,0
879,HP 14s Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14s - dy5005TU Thin and Light Lapto...,Intel Core i5 Processor (11th Gen),4 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inches) Display,,10918180.0,4,4,Intel,10,Windows,SSD,15.6,No,HP,No,512,0
880,Infinix ZERO BOOK Series Laptop Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) ZL12 Busin...,Intel Core i3 Processor (10th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,43.18 cm (17 Inch) Display,,10918180.0,16,4,Intel,10,Windows,SSD,0.0,No,Infinix,No,512,0
881,HP 14s Intel Pentium Quad Core - (8 GB/256 GB SSD/Windows 11 Home) 14s-dq3033tu Thin and Light Laptop,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB HDD,33.78 cm (13.3 Inch) Touchscreen Display,,5496400.0,16,4,Intel,10,Windows,HDD,13.3,Yes,HP,No,0,1000
882,HP Pavilion x360 Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14-ek0137TU Thin and Light Lapto...,Intel Core i3 Processor (12th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,,10463180.0,16,4,Intel,10,Windows,SSD,15.6,No,HP,No,512,0
883,Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 81X800J3IN|81X800LGIN...,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,1 TB SSD,35.56 cm (14 inch) Display,,7279818.0,8,4,Intel,10,Windows,SSD,14.0,No,Lenovo,No,1000,0
884,DELL Inspiron 5518 Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) Inspiron 5518 L...,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,"Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",1 TB HDD|256 GB SSD,39.62 cm (15.6 inch) Display,,14248780.0,8,4,Intel,10,Windows,Both,15.6,No,Dell,Yes,256,1000
885,Lenovo Core i7 9th Gen - (16 GB/1 TB SSD/Windows 10 Pro/4 GB Graphics) Thinkpad P53 Thin and Light Lap...,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,,30119180.0,8,4,Intel,10,Windows,SSD,15.6,No,Lenovo,Yes,512,0
886,DELL Inspiron Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10) Inspiron 5418 Thin and Light Laptop,AMD Ryzen 7 Dual Core Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,29.46 cm (11.6 Inch) Display,,11265800.0,8,4,AMD,10,Windows,SSD,11.6,No,Dell,No,512,0
887,Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15ITL6 Laptop,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,Windows 11 Operating System,1 TB HDD,39.62 cm (15.6 Inch) Display,,6186180.0,8,4,AMD,0,Windows,HDD,15.6,No,Lenovo,No,0,1000
888,DELL Inspiron Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10) Inspiron 5418 Thin and Light Laptop,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,"15.6 inch Full HD LED Backlit Anti-glare IPS Display, 300 Hz, 300 Nits",,11265800.0,8,4,Intel,10,Windows,SSD,15.6,No,Dell,No,512,0
889,ASUS ROG Strix G15 (2022) with 90Whr Battery Ryzen 7 Octa Core AMD R7-6800H - (16 GB/1 TB SSD/Windows ...,Intel Core i5 Processor (8th Gen),16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,,23658180.0,16,5,Intel,8,Windows,SSD,15.6,No,Asus,No,512,0
890,ASUS Ryzen 5 Quad Core 10th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX G...,Intel Core i3 Processor (12th Gen),8 GB DDR3 RAM,64 bit Windows 11 Operating System,512 GB SSD,33.78 cm (13.3 Inch) Touchscreen Display,,11020100.0,8,3,Intel,10,Windows,SSD,13.3,Yes,Asus,Yes,512,0
891,Primebook 4G Android Based MediaTek MT8788 - (4 GB/64 GB EMMC Storage/Prime OS) 4G Thin and Light Lapt...,Intel Core i5 Processor (10th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,,3092180.0,16,4,Intel,10,Windows,HDD,15.6,No,Primebook,No,0,1000
892,ASUS Ryzen 5 Dual Core 5th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 165...,Intel Core i5 Processor (12th Gen),16 GB DDR5 RAM,64 bit Windows 10 Operating System,1 TB HDD|256 GB SSD,35.56 cm (14 inch) Display,,11282180.0,16,5,Intel,10,Windows,Both,14.0,No,Asus,Yes,256,1000
893,ASUS ZenBook 13 Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Home) UX333FA-A4117T Thin and Light Lapt...,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Display,,12192180.0,8,4,Intel,10,Windows,SSD,14.0,No,Asus,No,512,0
894,ASUS VivoBook K15 OLED (2022) Core i5 11th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home) K513EA-L5...,Intel Core i7 Processor (13th Gen),8 GB DDR4 RAM,Windows 11 Operating System,1 TB HDD|256 GB SSD,39.62 cm (15.6 Inch) Display,,10918180.0,8,4,Intel,10,Windows,Both,15.6,No,Asus,No,256,1000
895,HP 15s Intel Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5111TU Thin and Light Laptop,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,,10008180.0,8,4,Intel,8,Windows,SSD,15.6,No,HP,No,512,0
896,HP Intel Core i5 10th Gen - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics) 15-ep0011TX Laptop,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,,17745000.0,16,4,AMD,0,Windows,SSD,15.6,No,HP,Yes,512,0
897,ASUS ROG Flow X16 (2022) with 90Whr Battery Ryzen 7 Octa Core 6800HS - (16 GB/1 TB SSD/Windows 11 Home...,Intel Core i7 Processor (8th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,,27662180.0,16,4,Intel,8,Windows,SSD,15.6,No,Asus,No,512,0
898,Lenovo Legion 5 Pro Intel Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFo...,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,Prime OS Operating System,512 GB SSD,33.78 cm (13.3 inch) Display,,30028180.0,16,4,Intel,10,Windows,SSD,13.3,No,Lenovo,Yes,512,0
899,HP Intel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s- fr4000TU Thin and Light Laptop,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,35.56 cm (14 inch) Display,,9553180.0,8,4,Intel,10,Windows,SSD,14.0,No,HP,No,512,0
900,Acer Predator Helios 300 Core i9 11th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,,16 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,,24024000.0,16,4,,0,Windows,HDD,15.6,No,Acer,Yes,0,1000
901,DELL G7 Core i9 10th Gen - (16 GB/1 TB SSD/Windows 10 Home/8 GB Graphics/NVIDIA GeForce RTX 2070/300 H...,,16 GB DDR5 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Display,,23658180.0,16,5,,0,Windows,SSD,14.0,No,Dell,Yes,512,0
902,Acer Aspire (2023) Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Display,,13648180.0,16,4,,0,Windows,SSD,14.0,No,Acer,Yes,512,0
903,HP 14s Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14s - dy5005TU Thin and Light Lapto...,,4 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,,10918180.0,4,4,,0,Windows,SSD,15.6,No,HP,No,512,0
904,DELL Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 5410 2 in 1 Laptop,,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,,10009818.0,8,4,,0,Windows,SSD,15.6,No,Dell,No,512,0
905,Lenovo IdeaPad Gaming 3 Intel Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA...,,8 GB DDR3 RAM,Windows 11 Operating System,1 TB SSD,39.62 cm (15.6 inch) Display,,11464180.0,8,3,,0,Windows,SSD,15.6,No,Lenovo,Yes,1000,0
906,Acer Aspire (2023) Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GT...,,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,35.56 cm (14 inches) Display,,13102180.0,16,4,,0,Windows,SSD,14.0,No,Acer,Yes,512,0
907,Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15ITL6 Laptop,,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,38.1 cm (15 inch) Display,,6186180.0,8,4,,0,Windows,SSD,15.0,No,Lenovo,No,512,0
908,Lenovo IdeaPad 3 Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin and Light Lapt...,,16 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inches) Display,,7277816.0,16,4,,0,Windows,SSD,14.0,No,Lenovo,No,512,0
909,Lenovo ThinkBook 13s Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) TB13s ITL Gen 2 Thin and Lig...,,16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,,8552180.0,16,5,,0,Windows,SSD,15.6,No,Lenovo,No,512,0
910,HP Pavilion Gaming Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RT...,,16 GB DDR5 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,,12918360.0,16,5,,0,Windows,SSD,15.6,No,HP,Yes,512,0
911,Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light Lap...,,8 GB DDR4 RAM,64 bit Windows 11 Operating System,nan,29.46 cm (11.6 Inch) Display,,8003450.0,8,4,,0,Windows,Not Both,11.6,No,Lenovo,No,0,0
912,ASUS Core i5 13th Gen - (16 GB/512 GB SSD/Windows 11 Home) UP3404VA 2 in 1 Laptop,,16 GB DDR4 RAM,64 bit Windows 10 Operating System,nan,39.62 cm (15.6 inch) Display,,20930000.0,16,4,,0,Windows,Not Both,15.6,No,Asus,No,0,0
913,DELL Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) Gaming...,,16 GB DDR4 RAM,Windows 11 Operating System,nan,33.78 cm (13.3 inch) Display,,13011180.0,16,4,,0,Windows,Not Both,13.3,No,Dell,Yes,0,0
914,Lenovo IdeaPad 3 Intel Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 82RK007JIN Thin and Light ...,,16 GB DDR4 RAM,Windows 11 Operating System,nan,39.62 cm (15.6 inch) Display,,8369816.0,16,4,,0,Windows,Not Both,15.6,No,Lenovo,No,0,0
915,Primebook 4G Android Based MediaTek MT8788 - (4 GB/64 GB EMMC Storage/Prime OS) 4G Thin and Light Lapt...,,16 GB DDR4 RAM,64 bit Windows 11 Operating System,nan,39.62 cm (15.6 inch) Display,,3092180.0,16,4,,0,Windows,Not Both,15.6,No,Primebook,No,0,0
916,Lenovo V14 G3 (82TSA01KIH) Core i3 12th Gen - (8 GB/512 GB SSD/DOS) V14 Laptop,,8 GB DDR4 RAM,64 bit Windows 10 Operating System,nan,39.62 cm (15.6 inch) Display,,6914180.0,8,4,,0,Windows,Not Both,15.6,No,Lenovo,No,0,0
