,Price,ram_in_gb,ddr_version,gen_type,size_in_inches,SSD,HDD,processor_name_name_encoded,OS_name_encoded,disk_drive_name_encoded,touchscreen_name_encoded,company_name_encoded,graphic_card_name_encoded
1083,14805882.0,8,3,8,13.3,512,0,1,3,3,0,2,0
1084,10190180.0,8,4,10,14.0,256,1000,1,3,0,0,2,0
1085,10035298.0,4,4,8,15.6,0,1000,1,3,1,0,8,1
1086,10190180.0,8,4,8,14.0,512,0,1,3,3,0,2,1
1087,34578180.0,16,4,8,17.3,512,1000,1,3,0,0,17,1
1088,7025018.0,4,3,0,10.0,128,0,1,3,3,1,16,0
1089,17107818.0,8,4,0,15.0,128,0,0,3,3,1,16,0
1090,8734180.0,8,4,0,15.6,256,1000,0,3,0,0,2,0
1091,6550180.0,4,4,10,14.0,256,0,1,3,3,0,2,0
1092,10008180.0,8,4,8,14.0,512,0,1,3,3,0,0,1
1093,6004180.0,4,4,7,15.6,0,1000,1,3,1,0,8,0
1094,7278180.0,4,4,10,15.6,0,1000,1,3,1,0,6,0
1095,6550180.0,4,4,10,14.0,256,0,1,3,3,0,2,0
1096,8734180.0,8,3,8,14.0,256,0,1,3,3,0,2,0
1097,4730180.0,4,4,0,15.6,0,1000,0,3,1,0,6,0
1098,9826180.0,8,4,8,14.0,256,1000,1,3,0,0,2,0
1099,8006180.0,8,4,8,14.0,0,1000,1,1,1,0,4,1
1100,10372180.0,8,4,9,15.6,0,1000,1,3,1,0,8,1
1101,10554180.0,8,4,10,15.6,512,0,1,3,3,0,0,1
1102,13102180.0,8,4,9,15.6,1000,0,1,3,3,0,2,1
1103,18198180.0,8,3,10,14.0,512,0,1,3,3,0,2,1
1104,9462180.0,8,4,0,15.6,128,1000,0,3,0,0,6,1
1105,7460180.0,8,4,10,14.0,0,1000,1,3,1,0,8,0
1106,15468180.0,8,4,9,15.6,256,2000,1,3,0,0,0,1
1107,10035298.0,4,4,8,15.6,0,1000,1,3,1,0,8,1
1108,43661800.0,16,4,9,16.0,1000,0,1,2,3,0,1,1
1109,12920180.0,8,3,8,14.0,512,0,1,3,3,0,0,0
1110,4912180.0,4,4,0,14.0,0,1000,0,3,1,0,2,0
1111,10554180.0,8,4,8,13.3,256,0,1,3,3,0,0,0
1112,17107818.0,8,4,0,15.0,128,0,0,3,3,1,16,0
1113,11919180.0,8,4,10,14.0,512,0,1,3,3,0,0,1
